0,0.25,0.5,1,2,4,8,exclusions,pruning,pcs
0.03529412,0.01176471,0.04705882,0.02352941,0.08235294,0.12941176,0.18823529,none,none,pi
0.03529412,0.01176471,0.04705882,0.03529412,0.08235294,0.12941176,0.14117647,none,0.1,1
0.03529412,0.01176471,0.04705882,0.02352941,0.08235294,0.14117647,0.15294118,none,none,1
0.03529412,0.01176471,0.04705882,0.03529412,0.08235294,0.12941176,0.14117647,lit,0.1,1
0.03529412,0.01176471,0.04705882,0.02352941,0.08235294,0.14117647,0.14117647,lit,none,1
0.03529412,0.01176471,0.04705882,0.03529412,0.02352941,0.02352941,0.02352941,none,0.1,4
0.03529412,0.01176471,0.04705882,0.04705882,0.08235294,0.14117647,0.16470588,none,none,4
0.03529412,0.01176471,0.04705882,0.03529412,0.03529412,0.02352941,0.02352941,lit,0.1,4
0.03529412,0.01176471,0.05882353,0.04705882,0.08235294,0.14117647,0.16470588,lit,none,4
0.04705882,0.42352941,9.96470588,20.78823529,21,21,21,none,none,none
