0,0.25,0.5,1,2,4,8,exclusions,pruning,pcs
0.01818182,0.03636364,0.05454545,0.09090909,0.13636364,0.23181818,0.28181818,none,none,pi
0.02272727,0.03636364,0.05454545,0.08636364,0.14090909,0.22272727,0.26363636,none,0.1,1
0.01818182,0.03636364,0.05454545,0.08181818,0.14545455,0.23636364,0.27272727,none,none,1
0.02272727,0.03636364,0.05,0.08636364,0.14090909,0.22272727,0.26363636,lit,0.1,1
0.01818182,0.03636364,0.05454545,0.08636364,0.14545455,0.24545455,0.27272727,lit,none,1
0.01818182,0.03636364,0.04545455,0.08181818,0.12272727,0.15909091,0.19090909,none,0.1,4
0.01818182,0.04090909,0.04545455,0.13181818,0.49090909,0.92272727,1.1,none,none,4
0.01818182,0.03636364,0.04545455,0.08181818,0.12272727,0.15909091,0.18636364,lit,0.1,4
0.01363636,0.04090909,0.05454545,0.12272727,0.34090909,0.66363636,0.79545455,lit,none,4
0.02272727,0.39090909,8,15.64090909,17.97272727,19.00909091,19.3,none,none,none
