0,0.25,0.5,1,2,4,8,exclusions,pruning,pcs
0.06666667,0,0,0,0,0.06666667,0.13333333,none,none,pi
0.06666667,0,0,0,0,0.06666667,0.13333333,none,0.1,1
0.06666667,0,0,0,0,0.06666667,0.13333333,none,none,1
0.06666667,0,0,0,0,0.06666667,0.13333333,lit,0.1,1
0.06666667,0,0,0,0,0.06666667,0.13333333,lit,none,1
0.06666667,0.06666667,0.06666667,0,0,0.06666667,0.13333333,none,0.1,4
0.06666667,0.06666667,0,0,0,0.06666667,0.13333333,none,none,4
0.06666667,0.06666667,0.06666667,0,0,0.06666667,0.13333333,lit,0.1,4
0.06666667,0.06666667,0,0,0,0.06666667,0.13333333,lit,none,4
0,0,0,0,0,0.06666667,0.2,none,none,none
