0,0.25,0.5,1,2,4,8,exclusions,pruning,pcs
0,0.04285714,0.04285714,0.07142857,0.08571429,0.12857143,0.14285714,none,none,pi
0.01428571,0.04285714,0.04285714,0.07142857,0.1,0.11428571,0.11428571,none,0.1,1
0,0.04285714,0.04285714,0.07142857,0.11428571,0.12857143,0.14285714,none,none,1
0.01428571,0.04285714,0.04285714,0.07142857,0.1,0.11428571,0.11428571,lit,0.1,1
0,0.04285714,0.04285714,0.07142857,0.11428571,0.12857143,0.14285714,lit,none,1
0.01428571,0.04285714,0.04285714,0.08571429,0.1,0.11428571,0.11428571,none,0.1,4
0,0.04285714,0.04285714,0.17142857,0.85714286,1.45714286,1.74285714,none,none,4
0.01428571,0.04285714,0.04285714,0.08571429,0.1,0.11428571,0.11428571,lit,0.1,4
0,0.05714286,0.04285714,0.15714286,0.54285714,0.95714286,1.21428571,lit,none,4
0.01428571,0.61428571,11.91428571,17.8,18.58571429,18.84285714,18.91428571,none,none,none
