0,0.25,0.5,1,2,4,8,exclusions,pruning,pcs
0,0,0,0.07692308,0.15384615,0.15384615,0.15384615,none,none,pi
0,0,0,0.07692308,0.15384615,0.15384615,0.15384615,none,0.1,1
0,0,0,0.07692308,0.15384615,0.15384615,0.15384615,none,none,1
0,0,0,0.07692308,0.15384615,0.15384615,0.15384615,lit,0.1,1
0,0,0,0.07692308,0.15384615,0.15384615,0.15384615,lit,none,1
0,0,0,0.07692308,0.15384615,0.15384615,0.15384615,none,0.1,4
0,0,0,0.3076923,1.4615385,2.5384615,2.9230769,none,none,4
0,0,0,0.07692308,0.15384615,0.15384615,0.15384615,lit,0.1,4
0,0,0,0.3076923,0.8461538,1.3076923,1.9230769,lit,none,4
0,1,16.46154,21,21,21,21,none,none,none
